date,county,commodity,commodity_group,retail_mean,retail_std,retail_min,retail_max,wholesale_mean,wb_price
2022-02-28,Bungoma,White Sorghum,sorghum,,,,,,
2022-02-28,Embu,White Sorghum,sorghum,,,,,,
2022-02-28,Garissa,White Sorghum,sorghum,,,,,,
2022-02-28,Kakamega,White Sorghum,sorghum,,,,,,
2022-02-28,Kirinyaga,White Sorghum,sorghum,,,,,,
2022-02-28,Kisumu,White Sorghum,sorghum,,,,,,
2022-02-28,Lamu,White Sorghum,sorghum,,,,,,
2022-02-28,Machakos,White Sorghum,sorghum,,,,,,
2022-02-28,Mandera,White Sorghum,sorghum,,,,,,
2022-02-28,Meru,White Sorghum,sorghum,,,,,,
2022-02-28,Nakuru,White Sorghum,sorghum,,,,,,
2022-02-28,Nyeri,White Sorghum,sorghum,,,,,,
2022-02-28,Siaya,White Sorghum,sorghum,,,,,,
2022-02-28,Tharaka-Nithi,White Sorghum,sorghum,,,,,,
2022-02-28,Vihiga,White Sorghum,sorghum,,,,,,
2022-03-31,Embu,White Sorghum,sorghum,,,,,,
2022-03-31,Garissa,White Sorghum,sorghum,,,,,,
2022-03-31,Homa-bay,White Sorghum,sorghum,,,,,,
2022-03-31,Kakamega,White Sorghum,sorghum,,,,,,
2022-03-31,Kirinyaga,White Sorghum,sorghum,,,,,,
2022-03-31,Kisumu,White Sorghum,sorghum,,,,,,
2022-03-31,Kitui,White Sorghum,sorghum,,,,,,
2022-03-31,Lamu,White Sorghum,sorghum,,,,,,
2022-03-31,Machakos,White Sorghum,sorghum,,,,,,
2022-03-31,Mandera,White Sorghum,sorghum,,,,,,
2022-03-31,Meru,White Sorghum,sorghum,,,,,,
2022-03-31,Nakuru,White Sorghum,sorghum,,,,,,
2022-03-31,Nyeri,White Sorghum,sorghum,,,,,,
2022-03-31,Siaya,White Sorghum,sorghum,,,,,,
2022-03-31,Tharaka-Nithi,White Sorghum,sorghum,,,,,,
2022-03-31,Trans-Nzoia,White Sorghum,sorghum,,,,,,
2022-03-31,Vihiga,White Sorghum,sorghum,,,,,,
2022-04-30,Busia,White Sorghum,sorghum,,,,,,
2022-04-30,Embu,White Sorghum,sorghum,,,,,,
2022-04-30,Garissa,White Sorghum,sorghum,,,,,,
2022-04-30,Kakamega,White Sorghum,sorghum,,,,,,
2022-04-30,Kirinyaga,White Sorghum,sorghum,,,,,,
2022-04-30,Kisumu,White Sorghum,sorghum,,,,,,
2022-04-30,Kitui,White Sorghum,sorghum,,,,,,
2022-04-30,Lamu,White Sorghum,sorghum,,,,,,
2022-04-30,Machakos,White Sorghum,sorghum,,,,,,
2022-04-30,Meru,White Sorghum,sorghum,,,,,,
2022-04-30,Nairobi,White Sorghum,sorghum,,,,,,
2022-04-30,Nakuru,White Sorghum,sorghum,,,,,,
2022-04-30,Nyeri,White Sorghum,sorghum,,,,,,
2022-04-30,Siaya,White Sorghum,sorghum,,,,,,
2022-04-30,Taita-Taveta,White Sorghum,sorghum,,,,,,
2022-04-30,Tharaka-Nithi,White Sorghum,sorghum,,,,,,
2022-04-30,Vihiga,White Sorghum,sorghum,,,,,,
2022-05-31,Busia,White Sorghum,sorghum,,,,,,
2022-05-31,Embu,White Sorghum,sorghum,,,,,,
2022-05-31,Garissa,White Sorghum,sorghum,,,,,,
2022-05-31,Kakamega,White Sorghum,sorghum,,,,,,
2022-05-31,Kirinyaga,White Sorghum,sorghum,,,,,,
2022-05-31,Kisumu,White Sorghum,sorghum,,,,,,
2022-05-31,Kitui,White Sorghum,sorghum,,,,,,
2022-05-31,Lamu,White Sorghum,sorghum,,,,,,
2022-05-31,Mandera,White Sorghum,sorghum,,,,,,
2022-05-31,Meru,White Sorghum,sorghum,,,,,,
2022-05-31,Mombasa,White Sorghum,sorghum,,,,,,
2022-05-31,Nakuru,White Sorghum,sorghum,,,,,,
2022-05-31,Nyeri,White Sorghum,sorghum,,,,,,
2022-05-31,Samburu,White Sorghum,sorghum,,,,,,
2022-05-31,Siaya,White Sorghum,sorghum,,,,,,
2022-05-31,Tharaka-Nithi,White Sorghum,sorghum,,,,,,
2022-05-31,Trans-Nzoia,White Sorghum,sorghum,,,,,,
2022-05-31,Turkana,White Sorghum,sorghum,,,,,,
2022-05-31,Uasin-Gishu,White Sorghum,sorghum,,,,,,
2022-05-31,Vihiga,White Sorghum,sorghum,,,,,,
2022-06-30,Bungoma,White Sorghum,sorghum,,,,,,
2022-06-30,Busia,White Sorghum,sorghum,,,,,,
2022-06-30,Embu,White Sorghum,sorghum,,,,,,
2022-06-30,Garissa,White Sorghum,sorghum,,,,,,
2022-06-30,Kajiado,White Sorghum,sorghum,,,,,,
2022-06-30,Kakamega,White Sorghum,sorghum,,,,,,
2022-06-30,Kirinyaga,White Sorghum,sorghum,,,,,,
2022-06-30,Kisumu,White Sorghum,sorghum,,,,,,
2022-06-30,Kitui,White Sorghum,sorghum,,,,,,
2022-06-30,Lamu,White Sorghum,sorghum,,,,,,
2022-06-30,Mandera,White Sorghum,sorghum,,,,,,
2022-06-30,Meru,White Sorghum,sorghum,,,,,,
2022-06-30,Mombasa,White Sorghum,sorghum,,,,,,
2022-06-30,Nakuru,White Sorghum,sorghum,,,,,,
2022-06-30,Nyeri,White Sorghum,sorghum,,,,,,
2022-06-30,Siaya,White Sorghum,sorghum,,,,,,
2022-06-30,Tharaka-Nithi,White Sorghum,sorghum,,,,,,
2022-06-30,Trans-Nzoia,White Sorghum,sorghum,,,,,,
2022-06-30,Turkana,White Sorghum,sorghum,,,,,,
2022-06-30,Uasin-Gishu,White Sorghum,sorghum,,,,,,
2022-06-30,Vihiga,White Sorghum,sorghum,,,,,,
2022-07-31,Busia,White Sorghum,sorghum,,,,,,
2022-07-31,Embu,White Sorghum,sorghum,,,,,,
2022-07-31,Garissa,White Sorghum,sorghum,,,,,,
2022-07-31,Kajiado,White Sorghum,sorghum,,,,,,
2022-07-31,Kakamega,White Sorghum,sorghum,,,,,,
2022-07-31,Kirinyaga,White Sorghum,sorghum,,,,,,
2022-07-31,Kisii,White Sorghum,sorghum,,,,,,
2022-07-31,Kisumu,White Sorghum,sorghum,,,,,,
2022-07-31,Kitui,White Sorghum,sorghum,,,,,,
2022-07-31,Lamu,White Sorghum,sorghum,,,,,,
2022-07-31,Mandera,White Sorghum,sorghum,,,,,,
2022-07-31,Meru,White Sorghum,sorghum,,,,,,
2022-07-31,Mombasa,White Sorghum,sorghum,,,,,,
2022-07-31,Muranga,White Sorghum,sorghum,,,,,,
2022-07-31,Nakuru,White Sorghum,sorghum,,,,,,
2022-07-31,Nyeri,White Sorghum,sorghum,,,,,,
2022-07-31,Samburu,White Sorghum,sorghum,,,,,,
2022-07-31,Siaya,White Sorghum,sorghum,,,,,,
2022-07-31,Tharaka-Nithi,White Sorghum,sorghum,,,,,,
2022-07-31,Turkana,White Sorghum,sorghum,,,,,,
2022-07-31,Vihiga,White Sorghum,sorghum,,,,,,
2022-08-31,Bungoma,White Sorghum,sorghum,,,,,,
2022-08-31,Busia,White Sorghum,sorghum,,,,,,
2022-08-31,Embu,White Sorghum,sorghum,,,,,,
2022-08-31,Garissa,White Sorghum,sorghum,,,,,,
2022-08-31,Kajiado,White Sorghum,sorghum,,,,,,
2022-08-31,Kakamega,White Sorghum,sorghum,,,,,,
2022-08-31,Kirinyaga,White Sorghum,sorghum,,,,,,
2022-08-31,Lamu,White Sorghum,sorghum,,,,,,
2022-08-31,Makueni,White Sorghum,sorghum,,,,,,
2022-08-31,Mandera,White Sorghum,sorghum,,,,,,
2022-08-31,Meru,White Sorghum,sorghum,,,,,,
2022-08-31,Mombasa,White Sorghum,sorghum,,,,,,
2022-08-31,Muranga,White Sorghum,sorghum,,,,,,
2022-08-31,Nairobi,White Sorghum,sorghum,,,,,,
2022-08-31,Nakuru,White Sorghum,sorghum,,,,,,
2022-08-31,Nyeri,White Sorghum,sorghum,,,,,,
2022-08-31,Samburu,White Sorghum,sorghum,,,,,,
2022-08-31,Siaya,White Sorghum,sorghum,,,,,,
2022-08-31,Taita-Taveta,White Sorghum,sorghum,,,,,,
2022-08-31,Tharaka-Nithi,White Sorghum,sorghum,,,,,,
2022-08-31,Vihiga,White Sorghum,sorghum,,,,,,
2022-08-31,West-Pokot,White Sorghum,sorghum,,,,,,
2022-09-30,Busia,White Sorghum,sorghum,,,,,,
2022-09-30,Embu,White Sorghum,sorghum,,,,,,
2022-09-30,Garissa,White Sorghum,sorghum,,,,,,
2022-09-30,Kajiado,White Sorghum,sorghum,,,,,,
2022-09-30,Kakamega,White Sorghum,sorghum,,,,,,
2022-09-30,Kirinyaga,White Sorghum,sorghum,,,,,,
2022-09-30,Laikipia,White Sorghum,sorghum,,,,,,
2022-09-30,Lamu,White Sorghum,sorghum,,,,,,
2022-09-30,Makueni,White Sorghum,sorghum,,,,,,
2022-09-30,Mandera,White Sorghum,sorghum,,,,,,
2022-09-30,Meru,White Sorghum,sorghum,,,,,,
2022-09-30,Mombasa,White Sorghum,sorghum,,,,,,
2022-09-30,Muranga,White Sorghum,sorghum,,,,,,
2022-09-30,Nakuru,White Sorghum,sorghum,,,,,,
2022-09-30,Nandi,White Sorghum,sorghum,,,,,,
2022-09-30,Nyeri,White Sorghum,sorghum,,,,,,
2022-09-30,Siaya,White Sorghum,sorghum,,,,,,
2022-09-30,Taita-Taveta,White Sorghum,sorghum,,,,,,
2022-09-30,Tharaka-Nithi,White Sorghum,sorghum,,,,,,
2022-09-30,Vihiga,White Sorghum,sorghum,,,,,,
2022-09-30,West-Pokot,White Sorghum,sorghum,,,,,,
2022-10-31,Busia,White Sorghum,sorghum,,,,,,
2022-10-31,Embu,White Sorghum,sorghum,,,,,,
2022-10-31,Garissa,White Sorghum,sorghum,,,,,,
2022-10-31,Kajiado,White Sorghum,sorghum,,,,,,
2022-10-31,Kakamega,White Sorghum,sorghum,,,,,,
2022-10-31,Kirinyaga,White Sorghum,sorghum,,,,,,
2022-10-31,Kitui,White Sorghum,sorghum,,,,,,
2022-10-31,Lamu,White Sorghum,sorghum,,,,,,
2022-10-31,Mandera,White Sorghum,sorghum,,,,,,
2022-10-31,Meru,White Sorghum,sorghum,,,,,,
2022-10-31,Mombasa,White Sorghum,sorghum,,,,,,
2022-10-31,Muranga,White Sorghum,sorghum,,,,,,
2022-10-31,Nakuru,White Sorghum,sorghum,,,,,,
2022-10-31,Nandi,White Sorghum,sorghum,,,,,,
2022-10-31,Nyamira,White Sorghum,sorghum,,,,,,
2022-10-31,Nyeri,White Sorghum,sorghum,,,,,,
2022-10-31,Siaya,White Sorghum,sorghum,,,,,,
2022-10-31,Taita-Taveta,White Sorghum,sorghum,,,,,,
2022-10-31,Tharaka-Nithi,White Sorghum,sorghum,,,,,,
2022-10-31,Trans-Nzoia,White Sorghum,sorghum,,,,,,
2022-10-31,Uasin-Gishu,White Sorghum,sorghum,,,,,,
2022-10-31,Vihiga,White Sorghum,sorghum,,,,,,
2022-11-30,Bungoma,White Sorghum,sorghum,,,,,,
2022-11-30,Embu,White Sorghum,sorghum,,,,,,
2022-11-30,Garissa,White Sorghum,sorghum,,,,,,
2022-11-30,Kajiado,White Sorghum,sorghum,,,,,,
2022-11-30,Kirinyaga,White Sorghum,sorghum,,,,,,
2022-11-30,Kisumu,White Sorghum,sorghum,,,,,,
2022-11-30,Kitui,White Sorghum,sorghum,,,,,,
2022-11-30,Lamu,White Sorghum,sorghum,,,,,,
2022-11-30,Mandera,White Sorghum,sorghum,,,,,,
2022-11-30,Meru,White Sorghum,sorghum,,,,,,
2022-11-30,Mombasa,White Sorghum,sorghum,,,,,,
2022-11-30,Nairobi,White Sorghum,sorghum,,,,,,
2022-11-30,Nakuru,White Sorghum,sorghum,,,,,,
2022-11-30,Nyeri,White Sorghum,sorghum,,,,,,
2022-11-30,Samburu,White Sorghum,sorghum,,,,,,
2022-11-30,Siaya,White Sorghum,sorghum,,,,,,
2022-11-30,Taita-Taveta,White Sorghum,sorghum,,,,,,
2022-11-30,Tharaka-Nithi,White Sorghum,sorghum,,,,,,
2022-11-30,Trans-Nzoia,White Sorghum,sorghum,,,,,,
2022-11-30,Vihiga,White Sorghum,sorghum,,,,,,
2022-12-31,Bomet,White Sorghum,sorghum,,,,,,
2022-12-31,Bungoma,White Sorghum,sorghum,,,,,,
2022-12-31,Busia,White Sorghum,sorghum,,,,,,
2022-12-31,Embu,White Sorghum,sorghum,,,,,,
2022-12-31,Garissa,White Sorghum,sorghum,,,,,,
2022-12-31,Kajiado,White Sorghum,sorghum,,,,,,
2022-12-31,Kirinyaga,White Sorghum,sorghum,,,,,,
2022-12-31,Kisumu,White Sorghum,sorghum,,,,,,
2022-12-31,Lamu,White Sorghum,sorghum,,,,,,
2022-12-31,Machakos,White Sorghum,sorghum,,,,,,
2022-12-31,Mandera,White Sorghum,sorghum,,,,,,
2022-12-31,Meru,White Sorghum,sorghum,,,,,,
2022-12-31,Mombasa,White Sorghum,sorghum,,,,,,
2022-12-31,Nairobi,White Sorghum,sorghum,,,,,,
2022-12-31,Nakuru,White Sorghum,sorghum,,,,,,
2022-12-31,Nyeri,White Sorghum,sorghum,,,,,,
2022-12-31,Siaya,White Sorghum,sorghum,,,,,,
2022-12-31,Tharaka-Nithi,White Sorghum,sorghum,,,,,,
2022-12-31,Uasin-Gishu,White Sorghum,sorghum,,,,,,
2022-12-31,Vihiga,White Sorghum,sorghum,,,,,,
2023-01-31,Busia,White Sorghum,sorghum,,,,,,
2023-01-31,Embu,White Sorghum,sorghum,,,,,,
2023-01-31,Garissa,White Sorghum,sorghum,,,,,,
2023-01-31,Kakamega,White Sorghum,sorghum,,,,,,
2023-01-31,Kirinyaga,White Sorghum,sorghum,,,,,,
2023-01-31,Kitui,White Sorghum,sorghum,,,,,,
2023-01-31,Lamu,White Sorghum,sorghum,,,,,,
2023-01-31,Mandera,White Sorghum,sorghum,,,,,,
2023-01-31,Meru,White Sorghum,sorghum,,,,,,
2023-01-31,Mombasa,White Sorghum,sorghum,,,,,,
2023-01-31,Nairobi,White Sorghum,sorghum,,,,,,
2023-01-31,Nakuru,White Sorghum,sorghum,,,,,,
2023-01-31,Nyeri,White Sorghum,sorghum,,,,,,
2023-01-31,Siaya,White Sorghum,sorghum,,,,,,
2023-01-31,Tharaka-Nithi,White Sorghum,sorghum,,,,,,
2023-01-31,Trans-Nzoia,White Sorghum,sorghum,,,,,,
2023-01-31,Turkana,White Sorghum,sorghum,,,,,,
2023-01-31,Uasin-Gishu,White Sorghum,sorghum,,,,,,
2023-01-31,Vihiga,White Sorghum,sorghum,,,,,,
2023-02-28,Bungoma,White Sorghum,sorghum,,,,,,
2023-02-28,Embu,White Sorghum,sorghum,,,,,,
2023-02-28,Garissa,White Sorghum,sorghum,,,,,,
2023-02-28,Homa-bay,White Sorghum,sorghum,,,,,,
2023-02-28,Kajiado,White Sorghum,sorghum,,,,,,
2023-02-28,Kirinyaga,White Sorghum,sorghum,,,,,,
2023-02-28,Kitui,White Sorghum,sorghum,,,,,,
2023-02-28,Lamu,White Sorghum,sorghum,,,,,,
2023-02-28,Mandera,White Sorghum,sorghum,,,,,,
2023-02-28,Meru,White Sorghum,sorghum,,,,,,
2023-02-28,Mombasa,White Sorghum,sorghum,,,,,,
2023-02-28,Nairobi,White Sorghum,sorghum,,,,,,
2023-02-28,Nakuru,White Sorghum,sorghum,,,,,,
2023-02-28,Nyeri,White Sorghum,sorghum,,,,,,
2023-02-28,Siaya,White Sorghum,sorghum,,,,,,
2023-02-28,Tana-River,White Sorghum,sorghum,,,,,,
2023-02-28,Tharaka-Nithi,White Sorghum,sorghum,,,,,,
2023-02-28,Trans-Nzoia,White Sorghum,sorghum,,,,,,
2023-02-28,Turkana,White Sorghum,sorghum,,,,,,
2023-02-28,Uasin-Gishu,White Sorghum,sorghum,,,,,,
2023-02-28,Vihiga,White Sorghum,sorghum,,,,,,
2023-03-31,Bungoma,White Sorghum,sorghum,,,,,,
2023-03-31,Embu,White Sorghum,sorghum,,,,,,
2023-03-31,Garissa,White Sorghum,sorghum,,,,,,
2023-03-31,Kajiado,White Sorghum,sorghum,,,,,,
2023-03-31,Kirinyaga,White Sorghum,sorghum,,,,,,
2023-03-31,Kisumu,White Sorghum,sorghum,,,,,,
2023-03-31,Kitui,White Sorghum,sorghum,,,,,,
2023-03-31,Lamu,White Sorghum,sorghum,,,,,,
2023-03-31,Mandera,White Sorghum,sorghum,,,,,,
2023-03-31,Meru,White Sorghum,sorghum,,,,,,
2023-03-31,Migori,White Sorghum,sorghum,,,,,,
2023-03-31,Mombasa,White Sorghum,sorghum,,,,,,
2023-03-31,Nairobi,White Sorghum,sorghum,,,,,,
2023-03-31,Nakuru,White Sorghum,sorghum,,,,,,
2023-03-31,Nyeri,White Sorghum,sorghum,,,,,,
2023-03-31,Siaya,White Sorghum,sorghum,,,,,,
2023-03-31,Tharaka-Nithi,White Sorghum,sorghum,,,,,,
2023-03-31,Trans-Nzoia,White Sorghum,sorghum,,,,,,
2023-03-31,Turkana,White Sorghum,sorghum,,,,,,
2023-03-31,Vihiga,White Sorghum,sorghum,,,,,,
2023-04-30,Bungoma,White Sorghum,sorghum,,,,,,
2023-04-30,Embu,White Sorghum,sorghum,,,,,,
2023-04-30,Garissa,White Sorghum,sorghum,,,,,,
2023-04-30,Kajiado,White Sorghum,sorghum,,,,,,
2023-04-30,Kirinyaga,White Sorghum,sorghum,,,,,,
2023-04-30,Lamu,White Sorghum,sorghum,,,,,,
2023-04-30,Meru,White Sorghum,sorghum,,,,,,
2023-04-30,Migori,White Sorghum,sorghum,,,,,,
2023-04-30,Mombasa,White Sorghum,sorghum,,,,,,
2023-04-30,Muranga,White Sorghum,sorghum,,,,,,
2023-04-30,Nairobi,White Sorghum,sorghum,,,,,,
2023-04-30,Nakuru,White Sorghum,sorghum,,,,,,
2023-04-30,Nyeri,White Sorghum,sorghum,,,,,,
2023-04-30,Siaya,White Sorghum,sorghum,,,,,,
2023-04-30,Tharaka-Nithi,White Sorghum,sorghum,,,,,,
2023-04-30,Trans-Nzoia,White Sorghum,sorghum,,,,,,
2023-04-30,Turkana,White Sorghum,sorghum,,,,,,
2023-04-30,Vihiga,White Sorghum,sorghum,,,,,,
2023-05-31,Bungoma,White Sorghum,sorghum,,,,,,
2023-05-31,Embu,White Sorghum,sorghum,,,,,,
2023-05-31,Garissa,White Sorghum,sorghum,,,,,,
2023-05-31,Kajiado,White Sorghum,sorghum,,,,,,
2023-05-31,Kirinyaga,White Sorghum,sorghum,,,,,,
2023-05-31,Kisumu,White Sorghum,sorghum,,,,,,
