Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date,ProductID,CropName
Dry Maize,White Maize,-,-,Ngurubani Market,50.00/Kg,60.00/Kg,4200.0,Kirinyaga,2026-02-11,1,Product-1
Dry Maize,White Maize,-,-,Kakamega Town,40.00/Kg,50.00/Kg,30000.0,Kakamega,2026-02-11,1,Product-1
Dry Maize,White Maize,-,-,Makutano Kirinyaga,50.00/Kg,60.00/Kg,2700.0,Kirinyaga,2026-02-11,1,Product-1
Dry Maize,White Maize,-,-,Mulot,47.78/Kg,65.00/Kg,12000.0,Bomet,2026-02-11,1,Product-1
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-02-11,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-02-11,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Kitale Municipality Market,50.00/Kg,62.50/Kg,300.0,Trans-Nzoia,2026-02-11,1,Product-1
Dry Maize,White Maize,-,-,Kerugoya,55.00/Kg,80.00/Kg,4500.0,Kirinyaga,2026-02-10,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Bondeni,35.56/Kg,40.00/Kg,500.0,Trans-Nzoia,2026-02-10,1,Product-1
Dry Maize,White Maize,-,-,Mogogosiek Market,41.67/Kg,62.50/Kg,10800.0,Bomet,2026-02-10,1,Product-1
Dry Maize,White Maize,-,-,Mogogosiek Market,41.67/Kg,62.50/Kg,10800.0,Bomet,2026-02-10,1,Product-1
Dry Maize,White Maize,-,-,Kapkwen,47.78/Kg,52.00/Kg,360000.0,Bomet,2026-02-10,1,Product-1
Dry Maize,Yellow Maize,-,-,Holo,-,75.00/Kg,,Kisumu,2026-02-10,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Holo,45.56/Kg,50.00/Kg,,Kisumu,2026-02-10,1,Product-1
Dry Maize,White Maize,-,-,Maua,55.56/Kg,60.00/Kg,6300.0,Meru,2026-02-10,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Nkubu,44.44/Kg,50.00/Kg,810.0,Meru,2026-02-10,1,Product-1
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-02-10,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-02-10,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Kitale Municipality Market,50.00/Kg,60.00/Kg,400.0,Trans-Nzoia,2026-02-10,1,Product-1
Dry Maize,White Maize,-,-,Ngurubani Market,50.00/Kg,60.00/Kg,4520.0,Kirinyaga,2026-02-09,1,Product-1
Dry Maize,White Maize,-,-,Chebunyo,50.00/Kg,65.00/Kg,18000.0,Bomet,2026-02-09,1,Product-1
Dry Maize,White Maize,-,-,Kangeta,50.00/Kg,60.00/Kg,1300.0,Meru,2026-02-09,1,Product-1
Dry Maize,White Maize,-,-,Kawangware,55.00/Kg,65.00/Kg,,Nairobi,2026-02-09,1,Product-1
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-02-09,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-02-09,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Kitale Municipality Market,41.11/Kg,46.67/Kg,600.0,Trans-Nzoia,2026-02-09,1,Product-1
Dry Maize,White Maize,-,-,Khayega,48.89/Kg,51.11/Kg,9000.0,Kakamega,2026-02-08,1,Product-1
Dry Maize,Yellow Maize,-,-,Kibuye,-,65.00/Kg,,Kisumu,2026-02-08,1,Product-1
Dry Maize,White Maize,-,-,Kibuye,57.78/Kg,65.00/Kg,,Kisumu,2026-02-08,1,Product-1
Dry Maize,White Maize,-,-,Muhoroni,40.00/Kg,48.00/Kg,5000.0,Kisumu,2026-02-08,1,Product-1
Dry Maize,White Maize,-,-,Makutano Embu,40.00/Kg,60.00/Kg,,Embu,2026-02-07,1,Product-1
Dry Maize,White Maize,-,-,Kakamega Town,42.22/Kg,60.00/Kg,10000.0,Kakamega,2026-02-06,1,Product-1
Dry Maize,White Maize,-,-,Ngurubani Market,40.00/Kg,60.00/Kg,6250.0,Kirinyaga,2026-02-06,1,Product-1
Dry Maize,White Maize,-,-,Mumias,-,59.09/Kg,,Kakamega,2026-02-06,1,Product-1
Dry Maize,White Maize,-,-,Kangeta,50.00/Kg,60.00/Kg,1200.0,Meru,2026-02-06,1,Product-1
Dry Maize,White Maize,-,-,Ndanai Market,4300.00/Kg,70.00/Kg,45000.0,Bomet,2026-02-06,1,Product-1
Dry Maize,White Maize,-,-,Kawangware,55.00/Kg,65.00/Kg,,Nairobi,2026-02-06,1,Product-1
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-02-06,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-02-06,1,Product-1
Dry Maize,White Maize,-,-,Gakoromone,50.00/Kg,51.11/Kg,40000.0,Meru,2026-02-06,1,Product-1
Dry Maize,White Maize,-,-,Katito,60.00/Kg,67.31/Kg,8500.0,Kisumu,2026-02-05,1,Product-1
Dry Maize,White Maize,-,-,Kerugoya,55.00/Kg,80.00/Kg,4500.0,Kirinyaga,2026-02-05,1,Product-1
